Freq,InputRe,InputIm,OutputRe,OutputIm,Mag,Phase,SmoothMag,SmoothPhase
1258.681,91216.12,0,2380.322,1333.74,-30.25421,30.1229,-33.50578,-390.502
1264.106,78205.31,0,-912.0742,-2643.779,-29.03741,-110.9477,-32.43174,-379.0877
1269.531,78109.41,0,-2685.445,-2571.817,-26.74515,-138.0614,-31.89053,-383.5416
1274.957,78208.46,0,-1107.489,-1898.713,-31.14875,-121.6256,-31.37045,-373.486
1280.382,78660.99,0,521.937,-705.3673,-38.99303,-54.01759,-31.50381,-359.1978
1285.807,202123,0,3722.626,3196.433,-32.13629,41.57405,-31.70374,-356.979
1291.233,163045.5,0,5604.365,639.1251,-28.91579,6.738525,-31.50816,-352.331
1296.658,69182.84,0,1758.462,-2150.438,-27.70651,-52.55312,-31.41352,-358.8932
1302.083,104248.1,0,753.259,-632.9392,-40.43973,-40.38964,-31.55331,-364.0263
1307.509,171417.6,0,-2738.621,-1336.476,-35.14065,-154.4268,-31.68151,-364.7384
1312.934,118293.5,0,631.0964,1144.358,-39.0887,61.68113,-31.70591,-360.1875
1318.359,98471.55,0,842.5109,4661.363,-26.2916,82.48832,-31.79439,-353.1198
1323.785,64813.36,0,1406.235,3399.425,-24.7411,70.5955,-32.4118,-351.4798
1329.21,63219.58,0,-1769.724,1489.242,-28.97577,141.2318,-32.88134,-345.7449
1334.635,66072.93,0,-1106.06,933.7607,-33.33309,140.6245,-33.08688,-339.3807
1340.061,140733.7,0,565.5009,-1948.778,-36.78746,-74.61474,-32.34859,-339.2319
1345.486,79710.65,0,1615.655,-1397.427,-31.26121,-41.88262,-32.04549,-343.6392
1350.911,72665.56,0,1614.103,1354.333,-30.55965,41.09074,-32.79433,-338.5531
1356.337,134039.6,0,3548.003,759.9554,-31.11731,12.42332,-32.80665,-331.9539
1361.762,115228.3,0,2292.222,2351.521,-30.73076,46.92443,-32.39754,-328.4568
1367.188,59861.44,0,-440.8101,1374.656,-32.41996,109.0854,-32.59115,-344.4086
1372.613,85165.7,0,-2164.727,56.44514,-32.1123,178.5434,-32.2043,-339.4991
1378.038,144966.5,0,276.6922,-1115.143,-42.00294,-76.50662,-33.05032,-335.0261
1383.464,222977.6,0,3101.81,-970.6475,-36.6056,-17.62937,-33.34784,-330.963
1388.889,114424.4,0,1857.168,388.8156,-35.46496,12.02252,-33.47987,-331.831
1394.314,65619.16,0,2813.599,-3129.085,-23.48915,-50.89109,-33.30148,-335.6714
1399.74,77347.84,0,2539.329,-2896.865,-25.77118,-50.98049,-32.8711,-328.7959
1405.165,108803.1,0,-252.1642,587.2769,-44.64134,113.5462,-33.2544,-322.8472
